ID,GENERO,RENTA,EDAD,NIV_EDUC,E_CIVIL,COD_OFI,COD_COM,CIUDAD,D_Marzo ,D_Abril,D_Mayo,D_Junio,D_Julio,D_Agosto,D_Septiembre,M_MOROSO,MONTO,SEGURO,FUGA
484,M       ,1.037.779,54,MED     ,VIU     ,138,1,ARICA           ,0,38.655,0,432.703,493,0,2.208,2,4.400.000,NO,FUGA
485,F       ,5.160,57,TEC     ,SOL     ,34,16,ANTOFAGASTA     ,0,96.492,0,0,69,0,0,1,3.300.000,SI,NO FUGA
486,M       ,437.245,50,UNV     ,SOL     ,102,100,SANTIAGO        ,297.298,55.973,0,0,698,0,0,1,1.200.000,NO,FUGA
487,M       ,604.117,46,UNV     ,VIU     ,129,105,SANTIAGO        ,0,461,0,172.652,43,4.432,675,2,3.000.000,NO,FUGA
488,M       ,2.903.351,47,UNV     ,SEP     ,31,119,SANTIAGO        ,0,1.593.276,0,0,8,7.038,95,1,8.000.000,NO,FUGA
489,M       ,651.786,43,MED     ,CAS     ,82,108,SANTIAGO        ,0,66,0,610.090,5.383,13.578,1.551,3,1.100.000,SI,NO FUGA
490,M       ,106.223,45,UNV     ,CAS     ,31,119,SANTIAGO        ,0,0,0,0,630,10.350,0,1,1.200.000,NO,FUGA
491,M       ,4.746.878,42,MED     ,CAS     ,55,90,SANTIAGO        ,0,48.178,0,10.881,428,0,2,3,1.200.000,NO,FUGA
492,M       ,731.455,41,MED     ,CAS     ,54,85,SANTIAGO        ,0,1.007.079,0,0,26,281,1,1,8.000.000,SI,NO FUGA
493,F       ,163.577,51,BAS     ,CAS     ,90,88,SANTIAGO        ,0,595.665,0,15.631,1.004,0,1.227,2,500.000,NO,NO FUGA
494,F       ,467.780,61,TEC     ,CAS     ,24,124,CURACAVI        ,0,118.247,0,0,42,0,40.521,1,8.000.000,NO,NO FUGA
495,F       ,32.366,39,MED     ,SOL     ,90,80,SANTIAGO        ,0,0,0,0,294,0,0,1,8.000.000,SI,NO FUGA
496,M       ,385.038,47,UNV     ,CAS     ,138,1,ARICA           ,0,3.640,0,242.242,0,0,4.942,1,2.500.000,NO,FUGA
497,F       ,73.115,40,MED     ,CAS     ,134,16,ANTOFAGASTA     ,0,764.859,0,49.210,271,3.962,33,1,1.200.000,NO,NO FUGA
498,F       ,241.160,53,BAS     ,CAS     ,81,59,QUILLOTA        ,0,0,0,0,303,34.531,42.412,1,1.600.000,NO,NO FUGA
499,F       ,499.104,49,TEC     ,SOL     ,90,88,SANTIAGO        ,0,0,5.406.785,0,1.808,0,626,1,8.000.000,NO,NO FUGA
500,F       ,613.146,50,TEC     ,CAS     ,95,316,AYSEN           ,0,216.816,0,0,251,0,0,1,1.900.000,NO,NO FUGA
501,M       ,128.440,33,TEC     ,CAS     ,94,67,VINA DEL MAR    ,0,60.751,0,111.076,159,0,92,1,1.600.000,NO,NO FUGA
502,M       ,2.441.608,42,MED     ,CAS     ,101,87,SANTIAGO        ,0,686.585,0,20.389,0,14.551,2.293,0,8.000.000,NO,NO FUGA
503,M       ,1.016.790,45,UNV     ,CAS     ,31,119,SANTIAGO        ,0,92.341,0,439.823,1.527,0,9,2,3.600.000,NO,FUGA
504,M       ,333.592,29,UNV     ,CAS     ,101,87,SANTIAGO        ,0,1.346.658,0,14.041,0,178,0,1,2.600.000,NO,FUGA
505,M       ,1.150.336,50,UNV     ,CAS     ,31,119,SANTIAGO        ,0,963.587,0,0,0,20.637,0,1,8.000.000,NO,FUGA
506,M       ,616.782,55,UNV     ,SOL     ,27,226,CONCEPCION      ,0,968.523,0,134.167,7,37.411,273,1,500.000,NO,FUGA
507,,352.567,33,MED     ,SOL     ,124,253,TEMUCO          ,0,446.536,0,781.373,1.179,0,3.267,1,2.200.000,NO,NO FUGA
508,M       ,46.305,50,UNV     ,CAS     ,30,101,SANTIAGO        ,0,33.791,90.966,0,9,0,528,1,7.000.000,NO,FUGA
509,M       ,568.939,55,UNV     ,SOL     ,132,99,SANTIAGO        ,0,19.885,0,299.729,8,0,121,1,2.100.000,SI,NO FUGA
510,M       ,32.165,40,UNV     ,CAS     ,51,88,SANTIAGO        ,0,185.396,0,0,597,28.049,0,2,6.300.000,SI,FUGA
511,M       ,515.859,46,UNV     ,CAS     ,129,105,SANTIAGO        ,0,22.071,0,134.208,539,4.379,378,2,3.000.000,NO,FUGA
512,F       ,35.640,53,TEC     ,SOL     ,105,42,LOS VILOS       ,0,460.933,0,388.754,289,0,5.197,1,8.000.000,SI,NO FUGA
513,M       ,174.475,40,UNV     ,CAS     ,151,226,CONCEPCION      ,0,51.076,0,0,0,1.207,0,1,2.100.000,NO,NO FUGA
514,M       ,515.082,44,MED     ,CAS     ,10,5,IQUIQUE         ,0,75.333,0,0,13,0,0,1,1.800.000,NO,NO FUGA
515,M       ,264.080,44,TEC     ,CAS     ,91,279,PANGUIPULLI     ,0,303.706,0,1.393.467,86,0,913,1,4.700.000,NO,NO FUGA
516,M       ,7.385,50,MED     ,CAS     ,55,90,SANTIAGO        ,0,357.787,962.213,0,0,0,800,1,2.100.000,NO,FUGA
517,F       ,189.240,30,UNV     ,SOL     ,74,91,SANTIAGO        ,0,5.760,0,0,85,0,0,1,2.500.000,NO,NO FUGA
518,F       ,342.751,36,MED     ,CAS     ,101,87,SANTIAGO        ,0,806.562,0,0,441,0,79,1,1.500.000,NO,NO FUGA
519,M       ,217.599,40,MED     ,CAS     ,41,119,SANTIAGO        ,0,129.019,0,178.143,213,0,8,1,3.500.000,NO,NO FUGA
520,M       ,469.171,45,UNV     ,SOL     ,31,119,SANTIAGO        ,0,4.534,0,283.496,417,0,4,2,3.400.000,NO,FUGA
521,F       ,114.750,54,TEC     ,CAS     ,84,88,SANTIAGO        ,0,548.739,0,0,0,27.523,2.353,0,8.000.000,NO,NO FUGA
522,M       ,1.206.011,48,UNV     ,SOL     ,138,1,ARICA           ,730.842,374.857,0,0,978,41.936,0,1,7.500.000,NO,FUGA
523,M       ,364.274,28,UNV     ,SOL     ,52,80,SANTIAGO        ,0,174.603,0,0,45,0,12,1,1.700.000,NO,FUGA
524,F       ,250.440,51,TEC     ,SEP     ,69,53,SAN FELIPE      ,0,243.283,0,0,762,0,0,1,1.900.000,NO,NO FUGA
525,F       ,2.014.551,59,MED     ,CAS     ,60,291,PUERTO MONTT    ,0,38.624,0,1.901.318,4.420,0,23.549,1,8.000.000,NO,NO FUGA
526,F       ,45.005,41,TEC     ,SOL     ,120,80,SANTIAGO        ,0,100.229,0,0,0,6.092,0,0,3.500.000,SI,NO FUGA
527,F       ,425.557,48,TEC     ,SOL     ,21,502,CALAMA,0,0,0,23.163,0,0,97,0,2.000.000,NO,NO FUGA
528,F       ,74.327,42,TEC     ,SOL     ,90,93,SANTIAGO        ,0,698.936,0,0,5,172,0,1,1.500.000,SI,NO FUGA
529,M       ,417.482,41,TEC     ,CAS     ,126,110,SANTIAGO        ,0,3.580,0,0,0,0,2,1,2.000.000,SI,FUGA
530,F       ,370.218,50,TEC     ,CAS     ,138,1,ARICA           ,0,404.051,0,0,684,0,393,2,1.000.000,NO,FUGA
531,M       ,262.979,53,TEC     ,SOL     ,27,226,CONCEPCION      ,0,66.479,0,0,127,0,0,1,1.900.000,NO,FUGA
532,M       ,312.016,37,MED     ,CAS     ,15,67,VINA DEL MAR    ,0,51.740,0,0,1,0,0,1,2.500.000,NO,NO FUGA
533,F       ,621.931,55,TEC     ,CAS     ,40,67,VINA DEL MAR    ,0,1.038.482,0,0,85,0,0,1,5.300.000,NO,NO FUGA
534,F       ,263.823,29,TEC     ,CAS     ,74,253,TEMUCO          ,0,8.394,0,27.993,38,0,70,1,1.700.000,NO,NO FUGA
535,F       ,47.665,50,TEC     ,SOL     ,108,100,SANTIAGO        ,0,116.071,0,0,188,0,0,1,1.600.000,SI,NO FUGA
536,M       ,3.718.826,43,UNV     ,CAS     ,55,90,SANTIAGO        ,0,35.824,0,122.685,9,0,107,1,8.000.000,NO,FUGA
537,M       ,22.526,55,MED     ,CAS     ,31,119,SANTIAGO        ,0,150.628,0,3.638,804,0,10,2,6.600.000,NO,FUGA
538,F       ,3.585,48,TEC     ,SOL     ,22,93,SANTIAGO        ,0,0,0,398.262,76,24.381,22,1,5.400.000,SI,NO FUGA
539,M       ,769.781,39,TEC     ,CAS     ,42,31,COQUIMBO        ,1.412.458,139.729,0,129.525,1.570,6.721,218,1,1.700.000,SI,NO FUGA
540,M       ,345.301,45,MED     ,CAS     ,54,93,SANTIAGO        ,0,672.472,0,0,1.992,0,2.172,1,4.000.000,NO,FUGA
541,M       ,1.993.460,32,TEC     ,CAS     ,90,80,SANTIAGO        ,0,696.558,0,46.054,0,0,17.890,0,8.000.000,NO,NO FUGA
542,F       ,23.305,36,MED     ,SOL     ,90,89,SANTIAGO        ,0,174.366,0,0,64,0,0,1,3.300.000,SI,NO FUGA
543,M       ,1.487.137,36,TEC     ,CAS     ,84,88,SANTIAGO        ,0,822.267,0,111.762,0,24.005,761,0,8.000.000,NO,NO FUGA
544,M       ,478.475,44,UNV     ,CAS     ,31,119,SANTIAGO        ,0,9.981,168.033,0,76,0,301,1,1.800.000,SI,FUGA
545,M       ,945.555,24,TEC     ,CAS     ,116,131,RANCAGUA        ,1.631.772,0,0,0,803,0,0,1,4.200.000,NO,FUGA
546,M       ,2.887.008,43,UNV     ,CAS     ,85,80,SANTIAGO        ,0,820.526,0,903,1.388,0,28,1,900.000,NO,FUGA
547,M       ,411.755,45,UNV     ,CAS     ,31,119,SANTIAGO        ,446.486,30.559,0,71.352,402,0,283,3,1.200.000,SI,FUGA
548,F       ,1.640.591,32,MED     ,CAS     ,82,81,SANTIAGO        ,0,161.301,0,0,0,0,323,0,3.800.000,NO,NO FUGA
549,F       ,1.077.214,53,UNV     ,CAS     ,12,16,ANTOFAGASTA     ,0,370.513,0,292.568,114,0,43,1,4.400.000,NO,NO FUGA
550,F       ,369.710,41,TEC     ,SOL     ,27,226,CONCEPCION      ,0,8.649,0,86.747,1.378,0,640,2,1.300.000,NO,FUGA
551,M       ,379.914,43,UNV     ,CAS     ,76,88,SANTIAGO        ,0,59.645,0,0,48,0,0,1,8.000.000,NO,NO FUGA
552,M       ,298.733,33,MED     ,SOL     ,90,23,CALDERA         ,0,114.839,0,0,1,0,11.049,1,3.700.000,NO,NO FUGA
553,M       ,578.214,28,UNV     ,CAS     ,18,83,SANTIAGO        ,0,399.915,0,10.812,240,0,2,1,1.800.000,NO,FUGA
554,M       ,11.514,40,UNV     ,CAS     ,55,90,SANTIAGO        ,0,8.942,0,24.490,42,0,135,1,2.300.000,NO,FUGA
555,M       ,81.900,50,MED     ,CAS     ,55,90,SANTIAGO        ,113.880,204.821,0,0,123,0,0,1,5.200.000,NO,FUGA
556,M       ,438.601,45,UNV     ,CAS     ,39,84,SANTIAGO        ,0,585,0,256.805,548,0,287,2,1.000.000,NO,FUGA
557,F       ,399.749,30,TEC     ,CAS     ,27,226,CONCEPCION      ,0,2.319,0,281.429,819,0,50,2,900.000,NO,FUGA
558,F       ,62.485,46,TEC     ,SOL     ,32,115,SANTIAGO        ,1.595.144,0,0,0,1.725,0,0,1,1.100.000,SI,NO FUGA
559,M       ,48.297,45,MED     ,CAS     ,55,90,SANTIAGO        ,0,1.039.388,0,0,0,4.116,0,1,8.000.000,NO,FUGA
560,M       ,106.316,33,MED     ,CAS     ,27,226,CONCEPCION      ,0,590.492,0,306.543,182,0,0,1,4.500.000,NO,FUGA
561,M       ,721.226,53,UNV     ,CAS     ,130,99,SANTIAGO        ,0,215.611,0,4.635,753,1.008,0,2,3.000.000,NO,FUGA
562,M       ,19.148,45,MED     ,CAS     ,41,93,SANTIAGO        ,0,277.545,0,0,6,0,0,1,3.500.000,NO,FUGA
563,M       ,28.515,28,UNV     ,CAS     ,52,80,SANTIAGO        ,0,156.446,0,0,232,0,6,1,1.700.000,NO,FUGA
564,F       ,34.513,46,UNV     ,SOL     ,140,88,SANTIAGO        ,0,48.789,0,0,1,0,0,1,2.000.000,NO,FUGA
565,M       ,288.872,41,TEC     ,CAS     ,17,80,SANTIAGO        ,0,316.954,0,0,2,0,0,1,1.700.000,NO,NO FUGA
566,F       ,122.983,47,MED     ,VIU     ,90,89,SANTIAGO        ,110.729,243.065,0,3.179,652,0,25,1,1.600.000,SI,NO FUGA
567,M       ,2.218.873,46,TEC     ,CAS     ,93,88,SANTIAGO        ,0,1.816.347,0,0,0,5.550,0,0,8.000.000,NO,NO FUGA
568,M       ,133.797,30,TEC     ,SOL     ,56,131,RANCAGUA        ,0,25.907,0,0,611,6.650,52,2,900.000,NO,NO FUGA
569,F       ,583.304,32,TEC     ,CAS     ,75,79,SANTO DOMINGO     ,0,204.173,0,0,0,0,0,0,4.000.000,NO,NO FUGA
570,M       ,239.149,27,TEC     ,CAS     ,13,80,SANTIAGO        ,0,0,0,0,933,0,76,2,1.300.000,NO,NO FUGA
571,M       ,29.673,42,UNV     ,CAS     ,122,80,SANTIAGO        ,0,59.014,0,0,19,0,0,1,8.000.000,NO,FUGA
572,F       ,32.381,43,TEC     ,SOL     ,66,253,TEMUCO          ,56.545,2.893.964,0,0,41,5.215,11.644,1,8.000.000,SI,NO FUGA
573,M       ,92.199,51,TEC     ,CAS     ,127,97,SANTIAGO        ,0,189.510,0,177.031,108,0,158,2,2.200.000,NO,FUGA
574,F       ,1.812.290,32,TEC     ,SOL     ,90,102,SANTIAGO        ,0,165.411,0,188.958,1.247,0,468,1,3.200.000,NO,NO FUGA
575,M       ,228.884,46,UNV     ,CAS     ,35,106,SANTIAGO        ,786.299,5.479,0,879.431,3,0,10.129,1,2.100.000,NO,FUGA
576,M       ,71.723,47,UNV     ,CAS     ,55,90,SANTIAGO        ,0,250.538,0,92.690,46,0,734,1,6.100.000,NO,FUGA
577,F       ,4.318.257,39,TEC     ,SOL     ,85,88,SANTIAGO        ,0,222.517,0,113.059,2,0,0,1,4.100.000,SI,NO FUGA
578,F       ,279.116,50,TEC     ,CAS     ,138,1,ARICA           ,0,671.075,1.336.139,0,0,9.529,5.253,1,700.000,NO,FUGA
579,F       ,1.710.702,46,TEC     ,SEP     ,93,88,SANTIAGO        ,0,4.218.388,0,0,0,6.150,0,0,8.000.000,NO,NO FUGA
580,F       ,479.055,52,TEC     ,CAS     ,27,226,CONCEPCION      ,0,145.949,0,290.535,10,0,21,1,2.100.000,NO,FUGA
581,F       ,138.348,51,TEC     ,CAS     ,138,1,ARICA           ,11.357,110.159,0,1.162,256,0,4,1,1.100.000,NO,FUGA
582,M       ,313.155,28,TEC     ,SOL     ,59,88,SANTIAGO        ,0,0,0,0,0,0,123,1,2.200.000,NO,FUGA
583,F       ,581.941,36,TEC     ,SEP     ,48,85,SANTIAGO        ,0,110.516,0,0,0,6.028,0,0,5.800.000,NO,NO FUGA
584,M       ,3.976.014,115,UNV     ,CAS     ,55,90,SANTIAGO        ,0,0,0,0,148,0,0,1,1.800.000,NO,FUGA
585,M       ,321.097,48,MED     ,CAS     ,138,1,ARICA           ,0,34.822,0,112.983,254,0,205,1,3.500.000,NO,FUGA
586,F       ,385.361,36,MED     ,CAS     ,16,93,SANTIAGO        ,0,53.727,0,0,0,0,12,0,1.600.000,NO,NO FUGA
587,M       ,4.274.214,40,UNV     ,CAS     ,55,90,SANTIAGO        ,124.448,10.667,0,0,748,0,0,2,3.000.000,NO,FUGA
588,M       ,253.722,47,MED     ,CAS     ,19,92,SANTIAGO        ,0,15.852,0,1.432.144,642,0,12.272,3,5.100.000,NO,FUGA
589,F       ,760.472,42,UNV     ,CAS     ,138,1,ARICA           ,757.496,512.271,0,837.129,3.104,0,5.415,2,5.600.000,SI,FUGA
590,M       ,48.599,50,UNV     ,SOL     ,31,120,SANTIAGO        ,77.513,54.420,0,10.201,84,0,24,1,1.500.000,SI,FUGA
591,F       ,6.232.466,37,TEC     ,VIU     ,84,115,SANTIAGO        ,0,345.131,0,72.745,116,0,14,1,600.000,NO,NO FUGA
592,M       ,349.114,49,UNV     ,CAS     ,138,1,ARICA           ,0,862.560,0,0,2,0,0,1,4.600.000,NO,FUGA
593,F       ,352.445,33,TEC     ,CAS     ,71,326,PUNTA ARENAS    ,0,0,0,0,1.212,0,0,2,2.400.000,NO,NO FUGA
594,M       ,81.139,37,TEC     ,CAS     ,90,89,SANTIAGO        ,188.295,19.077,0,1.720,176,0,504,1,1.100.000,NO,NO FUGA
595,F       ,198.171,38,MED     ,CAS     ,85,91,SANTIAGO        ,0,43.098,0,82.818,308,8.162,6.739,1,8.000.000,NO,NO FUGA
596,F       ,871,26,UNV     ,SOL     ,90,91,SANTIAGO        ,0,53.963,0,0,0,14.271,39,0,1.700.000,NO,NO FUGA
597,M       ,2.801.104,49,MED     ,CAS     ,138,1,ARICA           ,0,0,0,973.031,101,0,135.891,1,8.000.000,NO,FUGA
598,M       ,530.544,28,TEC     ,CAS     ,48,98,SANTIAGO        ,76.399,142.375,0,222.359,818,0,94,1,2.700.000,SI,FUGA
599,F       ,216.672,44,TEC     ,CAS     ,50,88,SANTIAGO        ,0,980.096,0,221.091,476,42.919,48.408,3,8.000.000,NO,NO FUGA
600,F       ,2.190.953,53,TEC     ,CAS     ,85,88,SANTIAGO        ,0,2.196.116,0,0,71,0,32,1,8.000.000,NO,NO FUGA
601,M       ,591.027,47,UNV     ,CAS     ,138,1,ARICA           ,0,0,287.429,0,0,861,1.734,1,5.500.000,NO,FUGA
602,M       ,32.300,51,UNV     ,SEP     ,55,90,SANTIAGO        ,0,360.593,0,0,81,0,1.515,1,3.500.000,NO,FUGA
603,F       ,114.591,43,MED     ,CAS     ,48,88,SANTIAGO        ,0,0,0,2,164,0,47,1,1.900.000,NO,NO FUGA
604,M       ,673.932,34,UNV     ,CAS     ,25,93,SANTIAGO        ,0,689.459,0,0,4,0,0,1,8.000.000,NO,NO FUGA
605,M       ,577.982,41,UNV     ,CAS     ,23,173,TALCA           ,0,53.865,0,0,19,0,8.291,1,2.400.000,NO,NO FUGA
606,F       ,91.081,63,MED     ,CAS     ,95,316,AYSEN           ,0,65.598,0,209.809,477,0,0,1,1.100.000,NO,NO FUGA
607,M       ,953.599,37,MED     ,SEP     ,84,16,ANTOFAGASTA     ,0,870.685,0,0,2,0,0,1,5.300.000,NO,NO FUGA
608,F       ,417.221,49,TEC     ,SEP     ,59,88,SANTIAGO        ,0,333.519,0,0,0,0,7.632,0,1.400.000,NO,NO FUGA
609,F       ,740.089,31,UNV     ,SOL     ,44,173,TALCA           ,0,32.744,0,63.912,319,0,375,1,4.400.000,NO,FUGA
610,M       ,1.633.940,42,UNV     ,CAS     ,82,90,SANTIAGO        ,0,473.485,0,0,1,7.549,130,1,8.000.000,NO,FUGA
611,F       ,7.102,44,MED     ,SOL     ,23,234,CORONEL         ,0,259.323,0,76.520,0,0,81,0,4.200.000,SI,NO FUGA
612,F       ,4.546.648,32,TEC     ,SOL     ,12,13,CALAMA          ,0,0,0,0,151,0,126,1,1.800.000,NO,NO FUGA
613,F       ,351.631,51,TEC     ,SEP     ,53,93,SANTIAGO        ,0,15.587,0,0,2,0,0,2,1.700.000,NO,NO FUGA
614,M       ,171.079,38,TEC     ,CAS     ,14,22,COPIAPO         ,0,0,0,74.170,0,0,396,0,4.000.000,SI,NO FUGA
615,M       ,454.358,38,TEC     ,SOL     ,90,89,SANTIAGO        ,0,348.176,0,0,0,27.820,0,0,1.500.000,NO,NO FUGA
616,M       ,311.217,34,MED     ,SOL     ,19,93,SANTIAGO        ,158.080,211.943,0,303.893,219,0,79,3,1.300.000,NO,NO FUGA
617,M       ,68.297,35,TEC     ,CAS     ,39,84,SANTIAGO        ,0,68.187,0,0,48,0,0,1,2.300.000,NO,NO FUGA
618,F       ,97.609,49,UNV     ,CAS     ,27,226,CONCEPCION      ,0,46.302,0,174.988,107,0,158,1,1.900.000,NO,FUGA
619,M       ,103.820,50,TEC     ,CAS     ,108,118,SANTIAGO        ,0,124.742,0,0,27,87,0,1,3.700.000,NO,NO FUGA
620,F       ,24.558,47,TEC     ,VIU     ,13,16,ANTOFAGASTA     ,0,225.860,0,0,46,3.487,507,1,3.500.000,SI,NO FUGA
621,F       ,254.785,29,TEC     ,CAS     ,74,253,TEMUCO          ,0,8.777,0,49.651,71,0,105,1,1.700.000,NO,NO FUGA
622,M       ,1.162.851,44,UNV     ,CAS     ,52,105,SANTIAGO        ,0,245.039,0,64.761,0,343,195,1,1.200.000,NO,FUGA
623,M       ,675.681,47,UNV     ,SOL     ,18,118,SANTIAGO        ,0,27.421,0,151.715,751,0,0,2,3.700.000,NO,FUGA
624,M       ,179.314,55,UNV     ,CAS     ,31,119,SANTIAGO        ,0,480.411,0,0,32,0,0,1,3.000.000,NO,FUGA
625,M       ,125.583,41,MED     ,SEP     ,122,504,DIEGO DE ALMAGRO     ,0,0,0,0,73,0,0,1,2.400.000,NO,NO FUGA
626,M       ,514.834,30,TEC     ,SOL     ,100,70,QUILPUE         ,0,0,0,68.047,23,0,36,2,2.300.000,NO,NO FUGA
627,M       ,1.470.902,39,UNV     ,CAS     ,73,87,SANTIAGO        ,0,797.747,0,0,389,87.778,18.555,2,8.000.000,NO,NO FUGA
628,M       ,343.220,46,TEC     ,CAS     ,31,119,SANTIAGO        ,0,137.706,0,330.925,0,0,321,1,1.700.000,NO,FUGA
629,M       ,1.080.822,37,MED     ,CAS     ,48,29,LA SERENA       ,0,44.490,0,45.761,0,24.359,30,0,4.800.000,NO,NO FUGA
630,M       ,602.284,38,UNV     ,CAS     ,17,105,SANTIAGO        ,0,2.320,0,0,1,2.568,0,1,3.900.000,NO,NO FUGA
631,M       ,296.109,39,UNV     ,CAS     ,61,284,OSORNO          ,0,0,0,0,8,0,52,1,2.000.000,NO,NO FUGA
632,M       ,182.358,50,UNV     ,SOL     ,108,80,SANTIAGO        ,0,108.957,0,545.220,4.355,0,1.491,2,900.000,NO,FUGA
633,F       ,452.316,32,TEC     ,SOL     ,39,105,SANTIAGO        ,0,77.274,0,254.911,775,19.257,410,2,1.200.000,NO,NO FUGA
634,F       ,534.021,51,MED     ,CAS     ,92,92,SANTIAGO        ,0,15.291,0,56.706,358,0,228,1,2.000.000,NO,FUGA
635,M       ,561.577,47,UNV     ,CAS     ,138,1,ARICA           ,0,108.599,0,1.145,0,0,1,1,2.400.000,NO,FUGA
636,F       ,47.097,37,MED     ,SOL     ,35,89,SANTIAGO        ,0,257.449,0,0,3,0,188,1,1.600.000,SI,NO FUGA
637,F       ,409.274,34,UNV     ,CAS     ,62,292,PUERTO VARAS    ,0,62.032,0,0,780,0,0,1,2.900.000,NO,NO FUGA
638,M       ,65.383,47,UNV     ,CAS     ,55,90,SANTIAGO        ,0,521.070,0,187.429,1.776,0,1.335,3,750.000,NO,FUGA
639,M       ,10.929,45,UNV     ,CAS     ,55,90,SANTIAGO        ,313.328,1.784.095,0,999.821,2.196,0,22.626,1,8.000.000,NO,FUGA
640,M       ,780.119,55,TEC     ,CAS     ,90,93,SANTIAGO        ,0,175.065,0,0,76,2.511,0,1,3.600.000,NO,FUGA
641,M       ,293.356,44,UNV     ,CAS     ,90,5,IQUIQUE         ,0,0,0,0,1,22.392,0,1,2.800.000,NO,NO FUGA
642,F       ,545.092,54,UNV     ,SOL     ,73,90,SANTIAGO        ,0,104.078,0,20.931,108,0,0,1,3.800.000,NO,FUGA
643,M       ,315.589,54,UNV     ,SOL     ,27,226,CONCEPCION      ,0,74.586,0,0,15,0,0,1,1.600.000,NO,FUGA
644,F       ,466.322,59,MED     ,CAS     ,86,49,LOS ANDES       ,735.935,0,0,0,349,0,0,1,1.600.000,NO,NO FUGA
645,M       ,551.859,44,MED     ,CAS     ,31,119,SANTIAGO        ,1.077.677,15.507,0,281.913,1.414,0,226,1,1.400.000,SI,FUGA
646,F       ,8.208.047,37,TEC     ,SOL     ,104,80,SANTIAGO        ,0,468.248,0,0,0,0,122,0,1.300.000,NO,NO FUGA
647,M       ,481.105,41,TEC     ,SOL     ,87,59,QUILLOTA        ,0,635.229,0,310.295,0,0,3,0,2.200.000,NO,NO FUGA
648,F       ,253.793,49,TEC     ,CAS     ,12,13,CALAMA          ,0,4.120,0,0,286,0,0,1,1.300.000,NO,NO FUGA
649,M       ,42.292,40,UNV     ,SOL     ,43,70,QUILPUE         ,0,182.905,0,85.644,220,0,1.950,1,2.400.000,SI,NO FUGA
650,M       ,430.043,40,TEC     ,CAS     ,46,29,LA SERENA       ,0,345.206,0,0,34,0,0,2,1.700.000,NO,NO FUGA
651,M       ,251.356,52,UNV     ,CAS     ,10,5,IQUIQUE         ,0,292.956,0,0,11,7.028,0,1,2.300.000,NO,NO FUGA
652,F       ,903.611,27,TEC     ,SOL     ,28,90,SANTIAGO        ,0,1.094.088,0,0,41,0,0,1,4.400.000,NO,NO FUGA
653,F       ,3.056.629,36,TEC     ,SOL     ,84,88,SANTIAGO        ,0,100.442,0,0,1.234,0,0,1,3.100.000,NO,NO FUGA
654,F       ,4.804.116,44,UNV     ,CAS     ,102,90,SANTIAGO        ,731.599,0,0,88.760,261,8.629,6,1,3.200.000,NO,FUGA
655,M       ,360.509,53,MED     ,VIU     ,122,89,SANTIAGO        ,0,23.108,0,1.059.056,236,31.088,1.712,2,2.100.000,NO,FUGA
656,F       ,442.128,28,UNV     ,CAS     ,44,173,TALCA           ,0,2.014.953,0,0,8,0,0,1,2.400.000,NO,NO FUGA
657,M       ,48.660,50,UNV     ,CAS     ,31,119,SANTIAGO        ,0,407.638,0,0,890,0,0,2,2.300.000,NO,FUGA
658,F       ,135.840,45,UNV     ,CAS     ,16,89,SANTIAGO        ,0,108.250,0,0,0,0,98,1,3.500.000,SI,FUGA
659,M       ,659.449,47,UNV     ,CAS     ,138,1,ARICA           ,1.181.636,8.828,0,29.247,2.065,0,79,1,1.800.000,NO,FUGA
660,F       ,59.943,49,MED     ,SOL     ,49,84,SANTIAGO        ,0,35.942,5.571.313,1.723.238,0,0,3.062,0,4.000.000,SI,NO FUGA
661,M       ,17.602,50,MED     ,CAS     ,85,88,SANTIAGO        ,1.255.140,454.098,0,0,1.604,0,0,2,8.000.000,NO,FUGA
662,F       ,548.999,30,TEC     ,SOL     ,90,88,SANTIAGO        ,0,0,0,0,41,4.656,281,1,5.500.000,NO,NO FUGA
663,F       ,152.380,33,TEC     ,CAS     ,60,291,PUERTO MONTT    ,0,73.081,0,0,803,0,367,1,900.000,NO,NO FUGA
664,F       ,35.604,54,MED     ,SOL     ,90,87,SANTIAGO        ,0,109.057,0,0,0,0,1.297,0,8.000.000,SI,NO FUGA
665,M       ,337.822,29,UNV     ,SOL     ,101,87,SANTIAGO        ,0,1.207.594,0,5.680,0,10.933,0,1,2.600.000,NO,FUGA
666,M       ,732.940,54,TEC     ,CAS     ,27,226,CONCEPCION      ,0,492.820,0,0,0,1.088,0,1,3.500.000,SI,FUGA
667,F       ,877.998,54,TEC     ,CAS     ,27,226,CONCEPCION      ,0,1.069.903,0,8.241,475,27.270,23.157,1,5.500.000,NO,NO FUGA
668,F       ,14.565,49,TEC     ,SOL     ,15,88,SANTIAGO        ,0,0,0,0,562,0,1.870,1,8.000.000,SI,NO FUGA
669,M       ,24.181,51,UNV     ,VIU     ,55,90,SANTIAGO        ,2.641.613,1.245.418,10.976.183,265.503,3.005,26.898,8.358,2,7.100.000,NO,FUGA
670,M       ,24.885,49,MED     ,CAS     ,55,90,SANTIAGO        ,1.216.244,1.135.491,0,0,364,1.278,1.726,1,2.300.000,NO,FUGA
671,F       ,338.401,51,TEC     ,CAS     ,78,182,LINARES         ,0,131.600,0,0,0,0,3.784,0,3.800.000,NO,NO FUGA
672,M       ,1.283.867,40,UNV     ,SEP     ,128,88,SANTIAGO        ,0,293.181,0,0,36,0,0,2,8.000.000,NO,NO FUGA
